ground_len,brown_glove50_perfect_mean,brown_glove50_jaccard_mean,brown_glove50_precision_mean,brown_glove50_recall_mean,brown_glove50_f1_mean,brown_glove100_perfect_mean,brown_glove100_jaccard_mean,brown_glove100_precision_mean,brown_glove100_recall_mean,brown_glove100_f1_mean,brown_glove200_perfect_mean,brown_glove200_jaccard_mean,brown_glove200_precision_mean,brown_glove200_recall_mean,brown_glove200_f1_mean,brown_glove300_perfect_mean,brown_glove300_jaccard_mean,brown_glove300_precision_mean,brown_glove300_recall_mean,brown_glove300_f1_mean,books_0_01_glove300_perfect_mean,books_0_01_glove300_jaccard_mean,books_0_01_glove300_precision_mean,books_0_01_glove300_recall_mean,books_0_01_glove300_f1_mean
53,0,0.102593625,0.180227786,0.187766281,0.183815357,0,0.160930809,0.241182383,0.320754717,0.275104617,0,0.222353994,0.317007448,0.418746196,0.36069334,0,0.278214938,0.379775019,0.497565429,0.430331023,0,0.285926774,0.389637935,0.503773585,0.438985707
54,0,0.111809717,0.196091718,0.202932099,0.199364263,0,0.162307102,0.243143905,0.322916667,0.277062358,0,0.229713393,0.327756773,0.427469136,0.370781578,0,0.294316774,0.400874094,0.516589506,0.450817221,0,0.251046462,0.347105591,0.470899471,0.399367687
55,0,0.111793414,0.196803337,0.201788376,0.199140749,0,0.164737041,0.24567908,0.327868852,0.280698017,0,0.221032242,0.318180123,0.414008942,0.359675274,0,0.286608327,0.391538603,0.509388972,0.442425798,0,0.262217885,0.36054054,0.481818182,0.412225558
56,0,0.115995332,0.203414508,0.209920635,0.206527748,0,0.170476785,0.254097373,0.338095238,0.289935332,0,0.226086621,0.322235749,0.425396825,0.366504729,0,0.288187089,0.394113797,0.508730159,0.443787461,0,0.243981398,0.338215737,0.461309524,0.390079339
57,0,0.114307066,0.202400911,0.205061835,0.203576352,0,0.166541912,0.249513343,0.329306874,0.283627933,0,0.223762166,0.321218037,0.418176589,0.36307199,0,0.276699363,0.380294418,0.495829738,0.430072478,0,0.266978052,0.369413298,0.487329435,0.419498955
58,0,0.117894637,0.20602948,0.210463734,0.208155565,0,0.167378558,0.248500807,0.329964328,0.283251867,0,0.226724445,0.323828997,0.419143876,0.365169959,0,0.294618207,0.400620252,0.513674197,0.449746157,0,0.176067718,0.264210526,0.344827586,0.299180788
59,0,0.109855319,0.193623293,0.197269303,0.195327616,0,0.163029954,0.244679147,0.322033898,0.277917787,0,0.223008001,0.321419424,0.415725047,0.362411077,0,0.280544798,0.383575668,0.503766478,0.435205329,0,0.239291924,0.33168262,0.457627119,0.384441745
60,0,0.124331124,0.21768327,0.22183908,0.219675389,0,0.180359967,0.267296237,0.351724138,0.303521326,0,0.229192137,0.326443289,0.429885057,0.370853401,0,0.286400134,0.390262891,0.511494253,0.442529347,0,0.244957743,0.339648688,0.461904762,0.391097902
61,0,0.107998264,0.191232619,0.195295795,0.193089485,0,0.163929984,0.245264019,0.327156094,0.280111859,0,0.214610806,0.310970078,0.405559515,0.351819021,0,0.275492052,0.381979206,0.489665004,0.428882074,0,0.228749297,0.321608947,0.442622951,0.372208947
62,0,0.110269133,0.196165563,0.198476703,0.197178889,0,0.155341525,0.232035317,0.312275986,0.265967921,0,0.21106377,0.305077356,0.40188172,0.346668162,0,0.266143031,0.367420962,0.48655914,0.418302343,0,0.226187491,0.318132762,0.431451613,0.366125402
63,0,0.115541518,0.20338104,0.208180708,0.205689389,0,0.170234962,0.253291782,0.336996337,0.289015294,0,0.216213889,0.312107798,0.406593407,0.352974813,0,0.270816275,0.370763959,0.491452991,0.422302387,0,0.221591072,0.316868158,0.41622575,0.359667814
64,0,0.10931009,0.194937359,0.196180556,0.19548232,0,0.155720503,0.236939547,0.307291667,0.267433222,0,0.204161592,0.297157797,0.388020833,0.336417893,0,0.247349216,0.346370173,0.455729167,0.393341379,0,0.241047189,0.341925968,0.446428571,0.386631885
65,0,0.113914915,0.203037042,0.20361991,0.203247308,0,0.168296104,0.251479808,0.332126697,0.286054441,0,0.222639705,0.320399575,0.416289593,0.361962132,0,0.272588326,0.373121517,0.495927602,0.425688889,0,0.29800638,0.406555305,0.523076923,0.457489842
66,0,0.097661105,0.175489476,0.177489177,0.176411702,0,0.155783125,0.239296081,0.303030303,0.267121996,0,0.204378971,0.302133022,0.382034632,0.33715189,0,0.239573359,0.34086309,0.44047619,0.384112586,0,0.210128511,0.301782097,0.409090909,0.347158135
67,0,0.131019253,0.22951052,0.226012793,0.227550468,0,0.160361029,0.243542537,0.313432836,0.27378564,0,0.220704435,0.323258231,0.402985075,0.35852088,0,0.276197956,0.38528033,0.481876333,0.427950112,0,0.222318228,0.318771987,0.417910448,0.360988319
68,0,0.109060076,0.192588984,0.196078431,0.194263391,0,0.1737283,0.261327227,0.337254902,0.294387723,0,0.218701054,0.317150344,0.408823529,0.357016913,0,0.267286465,0.372767949,0.478431373,0.418750619,0,0.219568109,0.316359942,0.413043478,0.358031301
69,0,0.095590365,0.173414172,0.173913043,0.173572889,0,0.143046051,0.22028319,0.288537549,0.249659829,0,0.207425129,0.304459164,0.391304348,0.342345973,0,0.244678246,0.346848999,0.449275362,0.391191042,0,0.266137405,0.369845209,0.485714286,0.419921503
70,0,0.106173543,0.190862562,0.185714286,0.188023108,0,0.168058445,0.256732319,0.321428571,0.285041676,0,0.221067564,0.32056824,0.407142857,0.358332549,0,0.255189622,0.355892997,0.462857143,0.402134976,0,0.221104868,0.312749842,0.429577465,0.36196816
71,0,0.120770588,0.211753029,0.211267606,0.211287963,0,0.171617902,0.256374977,0.33685446,0.290920927,0,0.215636427,0.312543866,0.404929577,0.352499203,0,0.271789034,0.377178868,0.484741784,0.42408807,0,0.220157413,0.314542462,0.415525114,0.357966633
72,0,0.107225339,0.191980171,0.19212963,0.191979169,0,0.169707093,0.257355993,0.328703704,0.288413841,0,0.233104256,0.33641132,0.427083333,0.376095244,0,0.292437874,0.402291235,0.512731481,0.450595883,0,0.293891403,0.397959184,0.527027027,0.453488372
73,0,0.106162051,0.188019518,0.190258752,0.189089682,0,0.169907787,0.256105294,0.327245053,0.287222466,0,0.219158718,0.317629794,0.403348554,0.355210553,0,0.289484004,0.394937271,0.509893455,0.444695087,0,0.23943662,0.34,0.447368421,0.386363636
74,0,0.129002173,0.223428478,0.227027027,0.225124734,0,0.191797606,0.283646861,0.362162162,0.317983162,0,0.240225148,0.341557795,0.427027027,0.379480651,0,0.290718381,0.396124697,0.510810811,0.446101368,0,0.199052339,0.285474235,0.378205128,0.325359723
75,0,0.115019193,0.205323559,0.205,0.204992008,0,0.165832739,0.252593083,0.321666667,0.282708102,0,0.221334606,0.325891448,0.405,0.36106235,0,0.267678805,0.373400657,0.48,0.419748858,0,0.345864662,0.464646465,0.575,0.51396648
76,0,0.106297346,0.189180563,0.191729323,0.190407249,0,0.164941351,0.247759002,0.327067669,0.281724088,0,0.223774118,0.326467721,0.413533835,0.364691671,0,0.253449473,0.348380139,0.471804511,0.400552204,0,0.233736323,0.332330463,0.435294118,0.37666763
