"max_ground_len","brown_glove50_perfect","brown_glove50_jaccard","brown_glove50_precision","brown_glove50_recall","brown_glove50_f1","brown_glove100_perfect","brown_glove100_jaccard","brown_glove100_precision","brown_glove100_recall","brown_glove100_f1","brown_glove200_perfect","brown_glove200_jaccard","brown_glove200_precision","brown_glove200_recall","brown_glove200_f1","brown_glove300_perfect","brown_glove300_jaccard","brown_glove300_precision","brown_glove300_recall","brown_glove300_f1"
33,0.07120751365752577,0.1833771727424681,0.24835911275916514,0.28333657810267937,0.2743817845679,0.2188971716138755,0.4015237162983317,0.4658927111224193,0.5560113145422843,0.5029587506736646,0.5056917570440539,0.6909361334693062,0.7423632208033999,0.7940975260791304,0.764860162208052,0.7925939879975241,0.8941825344852338,0.9173367077025196,0.933781299492794,0.9247086096606812
34,0.07038918890159879,0.18250456302665755,0.24761461130203713,0.28238230740023323,0.273389165170743,0.21638158069750738,0.39884807609953327,0.4633635131785035,0.5535516408500541,0.5004590750852875,0.4998802904950653,0.685930708465877,0.737883221407132,0.7903460770753402,0.7606839346114526,0.7841770636588545,0.8886464394205238,0.9127366021755117,0.9301607678832644,0.9205369585692065
35,0.06957847958137212,0.18163611735973595,0.24688160448895946,0.2814131817536811,0.2723981588262749,0.21388940019458835,0.39617541663414163,0.46083107958851505,0.5510761265589069,0.4979523692016868,0.49412290620316074,0.6808906477053661,0.7333503075716608,0.786524929033008,0.7564475806837343,0.7760130426779563,0.8833379340858921,0.9083420427019611,0.9266811943460389,0.9165444774145348
36,0.06886141834743006,0.18086809140893434,0.2462408101626874,0.28055304561612565,0.27152489362500926,0.21168510084580353,0.39385358719845454,0.45865259038261047,0.548948503295534,0.49579779210040803,0.4890305790500976,0.6764628622972114,0.7293778235218067,0.7831831381067486,0.7527384506788178,0.7685361093038386,0.878512330064669,0.9043763501553536,0.9235396002546653,0.9129432824240297
37,0.06824688555879395,0.18016322862620368,0.24561636217801644,0.2797397879430546,0.2706985939130481,0.2097959815325888,0.39179230738940973,0.4566888666302042,0.5470080457515565,0.4938450518074945,0.4846663743519641,0.6726223571825953,0.7259228116599145,0.780260704068182,0.7495053078415566,0.762090222073199,0.8741108554686826,0.9006823930077835,0.920604727671256,0.9095803113952721
38,0.06763630786534086,0.17952912390250272,0.2451061924703247,0.27903782333685795,0.26999049218321225,0.20791902047493674,0.38979881641228653,0.4548174246139594,0.5451587179517775,0.49198667300669374,0.48033025740650803,0.66875720838154,0.7224375413143298,0.7772898488913913,0.7462346953459507,0.7554254748089262,0.8694845183480392,0.896787535833407,0.9175204756555613,0.90603831894965
39,0.06713009945199919,0.17899285179910635,0.2446673564369414,0.27843717557342823,0.26939325250688634,0.2063628983154049,0.38808493326465726,0.45318218039350117,0.5435330270635041,0.49035700740064364,0.47673533590420136,0.6655165677230822,0.719505045662215,0.7747705545585579,0.7434743994793676,0.7498731479602192,0.8656059412621566,0.8934977409902485,0.9149241897060724,0.9030482051529688
40,0.06671709531013616,0.1785605324681044,0.24431772322928585,0.27795460696929525,0.2689088231323054,0.20509329299041856,0.3866916456234157,0.4518667527509645,0.5421967421768805,0.48903607574544417,0.4738023197175996,0.6628552023554917,0.7170934519031967,0.7726917846313697,0.7412015029868725,0.7452597075138678,0.862367028630175,0.8907606618188156,0.912743365140054,0.9005523162010542
41,0.0663274258641867,0.17815219732090287,0.24398896679874546,0.27749404547927425,0.26844991328808987,0.20389542024916651,0.3853634034384479,0.45060467967671225,0.5409179522198333,0.487769691364805,0.4710350186749555,0.6603018950410998,0.7147665340369886,0.7706689805703946,0.7390005524146094,0.740931993081493,0.8592036944057414,0.8880678244667635,0.9105634867903573,0.8980813934535039
42,0.06598997431229268,0.1778171572594117,0.24373527826687605,0.2771285217661438,0.2680859624855848,0.2028580691822331,0.384253397173797,0.44956164143127564,0.5398855836810283,0.48673342146349075,0.468638551512582,0.6581808769564642,0.7128597027180281,0.7690413253571872,0.7372109959312395,0.737212260268848,0.8566083037304446,0.8858775671280356,0.9088244254695246,0.8960879799491281
43,0.06567875493335319,0.17749953725417902,0.24349353723621078,0.27677169824073544,0.26773666165239385,0.20190135775808574,0.38321938185447446,0.4485864642429144,0.5389043304412365,0.48575845852222715,0.46642837639933477,0.6561740129300909,0.7110445086820447,0.767462497846802,0.7354953628417756,0.7338347357708442,0.8541691070586088,0.883794209442499,0.9071711161291084,0.8941899039931304
44,0.06540277331487752,0.17720401483326728,0.24325649686499823,0.2764350600688713,0.267404680239738,0.2010529698198087,0.3822927437011649,0.44771480461769325,0.5380128090325915,0.48488160710750294,0.46446844798180786,0.6544023692643133,0.7094455636128018,0.7660745935826259,0.7339853952292797,0.7307758855080703,0.8519033567298867,0.8818527698261072,0.9056141095044284,0.8924139168706303
